table,key,field,v1_value,v2_value,status,note
house_profiles,3,*,,"{""base_priority"": ""4"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.5""}",added_in_v2,
house_profiles,4,*,,"{""base_priority"": ""9"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.9""}",added_in_v2,
house_profiles,5,*,,"{""base_priority"": ""6"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.7""}",added_in_v2,
house_profiles,6,*,,"{""base_priority"": ""5"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.6""}",added_in_v2,
house_profiles,7,*,,"{""base_priority"": ""9"", ""house_kind"": ""angular"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.9""}",added_in_v2,
house_profiles,8,*,,"{""base_priority"": ""7"", ""house_kind"": ""succedent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.7""}",added_in_v2,
house_profiles,9,*,,"{""base_priority"": ""4"", ""house_kind"": ""cadent"", ""keywords_json"": """", ""micro_note"": """", ""visibility_weight"": ""0.5""}",added_in_v2,
aspect_profiles,conjunction,*,,"{""default_valence"": ""contextual"", ""intensity_weight"": ""1.5"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,opposition,*,,"{""default_valence"": ""polarizing"", ""intensity_weight"": ""1.3"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""1""}",added_in_v2,
aspect_profiles,sextile,*,,"{""default_valence"": ""favorable"", ""intensity_weight"": ""0.8"", ""micro_note"": """", ""orb_multiplier"": ""0.9"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,square,*,,"{""default_valence"": ""challenging"", ""intensity_weight"": ""1.2"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
aspect_profiles,trine,*,,"{""default_valence"": ""favorable"", ""intensity_weight"": ""1"", ""micro_note"": """", ""orb_multiplier"": ""1"", ""phase_sensitive"": ""0""}",added_in_v2,
sign_rulerships,aquarius|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""saturn"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,aries|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mars"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,cancer|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""moon"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,capricorn|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""saturn"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,gemini|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mercury"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,leo|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""sun"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,libra|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""venus"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,pisces|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""jupiter"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,sagittarius|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""jupiter"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,scorpio|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mars"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,taurus|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""venus"", ""weight"": ""1""}",added_in_v2,
sign_rulerships,virgo|domicile,*,,"{""is_primary"": ""1"", ""planet_code"": ""mercury"", ""weight"": ""1""}",added_in_v2,
planet_category_weights,jupiter|career,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,jupiter|communication,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,jupiter|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,jupiter|money,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,jupiter|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,jupiter|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mars|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mars|energy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,mars|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,mars|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mars|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mars|sex_intimacy,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,mars|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,mercury|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,mercury|communication,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,mercury|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,mercury|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mercury|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,mercury|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,mercury|work,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,moon|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|family_home,*,,"{""influence_role"": ""primary"", ""weight"": ""0.8""}",added_in_v2,
planet_category_weights,moon|health,*,,"{""influence_role"": ""primary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,moon|love,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,moon|mood,*,,"{""influence_role"": ""primary"", ""weight"": ""0.9""}",added_in_v2,
planet_category_weights,moon|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,moon|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,neptune|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,neptune|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,neptune|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,neptune|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,neptune|social_network,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|career,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|love,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,pluto|money,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
planet_category_weights,pluto|mood,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,pluto|pleasure_creativity,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,pluto|sex_intimacy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.6""}",added_in_v2,
planet_category_weights,pluto|work,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,saturn|career,*,,"{""influence_role"": ""primary"", ""weight"": ""0.7""}",added_in_v2,
planet_category_weights,saturn|energy,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.3""}",added_in_v2,
planet_category_weights,saturn|family_home,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.4""}",added_in_v2,
planet_category_weights,saturn|health,*,,"{""influence_role"": ""secondary"", ""weight"": ""0.5""}",added_in_v2,
